ID;Meal;Restaurant;Type;Cal;P;C;F;Like Trigger;Reg;Vegan;Veg;Breakfast;Lunch;Dinner;;;;;;;;;;;;
117;Chirashi bowl;Abokado;Lunch / Dinner;675,8;38,5;69,7;26,9;1;1;1;1;-;1;1;;;;;;;;;;;;
118;Salmon teriyaki salad;Abokado;Lunch / Dinner;483,3;19,7;51,6;21,8;1;1;1;1;-;1;1;;;;;;;;;;;;
119;Tofu teriyaki salad;Abokado;Lunch / Dinner;569,2;21,5;52,6;30,1;1;1;1;1;-;1;1;;;;;;;;;;;;
120;Chicken curry bento;Abokado;Lunch / Dinner;849,3;36,5;136,2;17,7;1;1;1;1;-;1;1;;;;;;;;;;;;
121;Chicken curry yakisoba;Abokado;Lunch / Dinner;906,3;50,7;93,5;36,5;1;1;1;1;-;1;1;;;;;;;;;;;;
122;Chicken katsu curry bento;Abokado;Lunch / Dinner;1121,8;43,3;147,7;39,8;1;1;1;1;-;1;1;;;;;;;;;;;;
123;Chicken katsu curry yakisoba;Abokado;Lunch / Dinner;1278,0;57,5;104,4;58,9;1;1;1;1;-;1;1;;;;;;;;;;;;
124;Chicken katsu yakisoba bento;Abokado;Lunch / Dinner;718,9;43,7;76,0;26,4;1;1;1;1;-;1;1;;;;;;;;;;;;
125;Spicy chicken bento;Abokado;Lunch / Dinner;868,0;39,7;134,5;19,2;1;1;1;1;-;1;1;;;;;;;;;;;;
126;Spicy chicken yakisoba;Abokado;Lunch / Dinner;923,8;53,9;91,1;37,8;1;1;1;1;-;1;1;;;;;;;;;;;;
127;Sweet chilli chicken bento;Abokado;Lunch / Dinner;930,0;33,5;151,3;21,1;1;1;1;1;-;1;1;;;;;;;;;;;;
128;Sweet chilli chicken yakisoba;Abokado;Lunch / Dinner;1122,2;43,4;182,3;24,8;1;1;1;1;-;1;1;;;;;;;;;;;;
129;Chicken Yakisoba;Abokado;Lunch / Dinner;639,0;35,6;76,1;21,2;1;1;1;1;-;1;1;;;;;;;;;;;;
130;Chicken Teriyaki Bento;Abokado;Lunch / Dinner;748,8;36,5;94,7;25,0;1;1;1;1;-;1;1;;;;;;;;;;;;
131;Chicken Teriyaki Yakisoba;Abokado;Lunch / Dinner;1049,6;46,1;119,0;42,9;1;1;1;1;-;1;1;;;;;;;;;;;;
132;Salmon Teriyaki Bento;Abokado;Lunch / Dinner;800,4;35,4;93,4;31,9;1;1;1;1;-;1;1;;;;;;;;;;;;
133;Salmon Teriyaki Yakisoba;Abokado;Lunch / Dinner;1102,0;44,7;117,7;50,5;1;1;1;1;-;1;1;;;;;;;;;;;;
134;Chorizo Power Eggs;Pod;Breakfast;545;33,2;24;35,5;1;1;1;1;1;-;1;;;;;;;;;;;;
135;Energiser Eggs;Pod;Breakfast;532;30,9;22,7;35,2;1;1;1;1;1;-;1;;;;;;;;;;;;
136;Omega 3 Booster Eggs;Pod;Breakfast;549;33,3;22,6;35,6;1;1;1;1;1;-;1;;;;;;;;;;;;
137;Plain Eggs;Pod;Breakfast;402;25,7;20,9;24;1;1;1;1;1;-;1;;;;;;;;;;;;
138;Protein Feast Eggs;Pod;Breakfast;658;53;21,9;38,6;1;1;1;1;1;-;1;;;;;;;;;;;;
139;Superb Eggs;Pod;Breakfast;484;30,4;22,7;30,2;1;1;1;1;1;-;1;;;;;;;;;;;;
140;Berry Boost;Pod;Breakfast;323;9,3;55,6;8,5;1;1;1;1;1;-;1;;;;;;;;;;;;
141;Forest Berry & Peanut Butter;Pod;Breakfast;414;14,8;49,9;18;1;1;1;1;1;-;1;;;;;;;;;;;;
142;Peanut Butter Power;Pod;Breakfast;452;15,1;59,4;18,1;1;1;1;1;1;-;1;;;;;;;;;;;;
143;Plain Porridge;Pod;Breakfast;217;7;40,7;4;1;1;1;1;1;-;1;;;;;;;;;;;;
144;Bagel with Salmon & Cream Cheese;Pod;Breakfast;456;25,3;53,8;13,4;1;1;1;1;1;-;1;;;;;;;;;;;;
145;Protein Toast without Butter;Pod;Breakfast;315;16,7;27;13,2;1;1;1;1;1;-;1;;;;;;;;;;;;
146;Bacon & Egg Wrap;Pod;Breakfast;458;31,3;52,1;17,4;1;1;1;1;1;-;1;;;;;;;;;;;;
147;Egg, Spinach & Crumbled Cheese Wrap;Pod;Breakfast;393;25;46,5;15,4;1;1;1;1;1;-;1;;;;;;;;;;;;
148;Bacon Toasted Sandwich;Pod;Breakfast;367;24,3;43,8;10,2;1;1;1;1;1;-;1;;;;;;;;;;;;
149;Malaysian Coconut Chicken;Pod;Lunch / Dinner;503;23,3;67,1;17,1;1;1;1;1;-;1;1;;;;;;;;;;;;
150;Naked Chicken Katsu Curry;Pod;Lunch / Dinner;448;22,8;63;12,1;1;1;1;1;-;1;1;;;;;;;;;;;;
